subject,description,category,priority
Keyboard not working,My computer has become extremely slow recently. This is affecting my work.,Hardware,LOW
Possible virus,I think my computer may have a virus. I need assistance as soon as possible.,Security,MEDIUM
Need access to company system,Access to the server is being denied. I need assistance as soon as possible.,Access,HIGH
Cannot access mailbox,Outlook crashes whenever I try to launch it.,Email,HIGH
Unable to access server,My laptop is unable to connect to the office Wi-Fi. I need assistance as soon as possible.,Network,LOW
Access denied error,I would like to request access to a company resource. I need assistance as soon as possible.,Access,LOW
IT assistance required,I have an IT issue that does not fit into another category. Please investigate this problem.,Other,LOW
Headset not working,My headset is not detected by my computer.,Hardware,LOW
Suspicious attachment,I think I may have received a phishing message. I need assistance as soon as possible.,Security,MEDIUM
DNS problem,The internet connection is extremely slow. I need assistance as soon as possible.,Network,LOW
Monitor not displaying,My mouse is connected but is not responding. The issue started recently.,Hardware,LOW
Monitor not displaying,Several keys on my keyboard have stopped working. Please investigate this problem.,Hardware,MEDIUM
New employee IT setup,Please provide technical support for my workstation. This is affecting my work.,Other,MEDIUM
Keyboard not working,My mouse is connected but is not responding. This is affecting my work.,Hardware,LOW
Shared folder access denied,I cannot access the shared folder used by my team. Please help me resolve this issue.,Access,MEDIUM
Miscellaneous IT issue,I would like to request new computer equipment. Please help me resolve this issue.,Other,MEDIUM
VPN connection failed,Network requests are timing out repeatedly. Please investigate this problem.,Network,HIGH
Equipment replacement request,I would like to request new computer equipment. Please help me resolve this issue.,Other,HIGH
Password reset required,I forgot my company account password and need it reset. Please help me resolve this issue.,Account,MEDIUM
Unable to access application,The application says that I do not have permission to access it. This is affecting my work.,Access,LOW
Possible phishing attack,I received a security alert that I do not recognize. The issue started recently.,Security,MEDIUM
Headset not working,My headset is not detected by my computer. Please help me resolve this issue.,Hardware,HIGH
Program will not open,Excel stops responding when I open a large spreadsheet. I need assistance as soon as possible.,Software,LOW
Access to shared drive required,Access to the server is being denied. Please investigate this problem.,Access,MEDIUM
Computer setup request,A new employee needs their computer and IT services configured. Please investigate this problem.,Other,MEDIUM
Password reset required,I am having an issue with my username. Please help me resolve this issue.,Account,LOW
Laptop battery problem,The office printer is not printing my documents. Please help me resolve this issue.,Hardware,LOW
DNS problem,I do not have access to the internet. The issue started recently.,Network,HIGH
Account recovery request,My login credentials are not being accepted. Please investigate this problem.,Account,MEDIUM
Shared folder access denied,I receive an access denied error when opening the resource.,Access,LOW
IT information request,I have an IT issue that does not fit into another category. The issue started recently.,Other,LOW
VPN connection failed,I do not have access to the internet. This is affecting my work.,Network,MEDIUM
Windows error,The software does not appear to be compatible with my system. Please help me resolve this issue.,Software,LOW
Password reset required,My login credentials are not being accepted. This is affecting my work.,Account,LOW
Server access denied,I would like to request access to a company resource. The issue started recently.,Access,HIGH
Excel not responding,Windows is showing an unexpected error message. I need assistance as soon as possible.,Software,HIGH
Miscellaneous IT issue,I have a general IT support request. The issue started recently.,Other,MEDIUM
Network connection dropping,The internet connection is extremely slow. Please help me resolve this issue.,Network,MEDIUM
Security incident,I received an email containing a suspicious link. The issue started recently.,Security,HIGH
Keyboard not working,My laptop does not turn on when I press the power button. Please help me resolve this issue.,Hardware,MEDIUM
Unknown login detected,I think I may have received a phishing message. The issue started recently.,Security,HIGH
Suspicious attachment,I received a security alert that I do not recognize. Please investigate this problem.,Security,MEDIUM
Browser not working,Excel stops responding when I open a large spreadsheet. This is affecting my work.,Software,MEDIUM
Excel not responding,The software does not appear to be compatible with my system. I need assistance as soon as possible.,Software,LOW
Printer not working,I am having problems with the hard drive on my computer. Please help me resolve this issue.,Hardware,MEDIUM
Unauthorized access,An unknown sender sent me a suspicious attachment. I need assistance as soon as possible.,Security,CRITICAL
Unable to access application,I am unable to access the company database. I need assistance as soon as possible.,Access,HIGH
Browser not working,The application freezes whenever I try to use it. The issue started recently.,Software,MEDIUM
Monitor not displaying,The monitor is connected but nothing is displayed. This is affecting my work.,Hardware,LOW
Monitor not displaying,My laptop does not turn on when I press the power button. The issue started recently.,Hardware,LOW
Cannot access database,I need permission to use the required company application. The issue started recently.,Access,HIGH
Cannot login,My password has expired and I cannot access my account. I need assistance as soon as possible.,Account,MEDIUM
Security alert,I received an email containing a suspicious link. Please investigate this problem.,Security,HIGH
Mailbox full,My emails are not synchronizing correctly. Please investigate this problem.,Email,HIGH
Windows error,Excel stops responding when I open a large spreadsheet. I need assistance as soon as possible.,Software,MEDIUM
Mailbox full,I am not receiving notifications for new emails. Please investigate this problem.,Email,HIGH
Cannot access mailbox,Outlook crashes whenever I try to launch it. This is affecting my work.,Email,MEDIUM
Employee account problem,I forgot my company account password and need it reset. The issue started recently.,Account,HIGH
Cannot connect to office network,The internet connection is extremely slow. The issue started recently.,Network,LOW
Account recovery request,The system is unable to authenticate my account. I need assistance as soon as possible.,Account,MEDIUM
Network connection dropping,I am having a DNS resolution problem. Please investigate this problem.,Network,HIGH
Email synchronization issue,My emails are not synchronizing correctly. This is affecting my work.,Email,LOW
Slow internet,The Wi-Fi disconnects every few minutes. I need assistance as soon as possible.,Network,HIGH
Unknown login detected,I received a security alert that I do not recognize.,Security,MEDIUM
Network timeout,I cannot connect to the company server. This is affecting my work.,Network,LOW
Possible virus,I would like to report a potential security incident.,Security,CRITICAL
Emails delayed,Outlook crashes whenever I try to launch it. I need assistance as soon as possible.,Email,LOW
Hard drive issue,The monitor is connected but nothing is displayed.,Hardware,HIGH
Employee account problem,There appears to be a problem with my employee account. This is affecting my work.,Account,HIGH
General IT request,I have a general IT support request. I need assistance as soon as possible.,Other,HIGH
Application permission required,I receive an access denied error when opening the resource. Please help me resolve this issue.,Access,LOW
Server access denied,I need access to an internal company system. The issue started recently.,Access,HIGH
Suspicious email received,I received an email containing a suspicious link. The issue started recently.,Security,HIGH
New employee IT setup,I need help with a technical problem. This is affecting my work.,Other,HIGH
Mouse not responding,My laptop does not turn on when I press the power button. This is affecting my work.,Hardware,MEDIUM
